 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5000   5.3140   8.4400   0.1242   1.2086  0.13277E+04  0.13272E+04  0.44381E+00  0.15526E+04  0.24321E+01  0.26769E+02  0.15234E+04  0.99996E+00
   10.5000   3.2660  12.7600   0.1248   1.6938  0.21067E+03  0.21063E+03  0.34928E-01  0.28188E+03  0.14209E+01  0.97692E+01  0.27069E+03  0.10000E+01
   10.5000   2.2460  17.3400   0.1384   2.1436  0.68713E+02  0.68705E+02  0.79692E-02  0.10197E+03  0.65447E+00  0.58644E+01  0.95454E+02  0.10001E+01
   10.5000   6.8450   7.4410   0.1765   1.2105  0.29858E+04  0.29840E+04  0.17989E+01  0.31643E+04  0.49945E+00  0.36199E+02  0.31276E+04  0.10001E+01
   10.5000   5.3010  10.0500   0.1751   1.7081  0.68090E+03  0.68073E+03  0.17396E+00  0.75523E+03  0.28666E+00  0.83510E+01  0.74659E+03  0.10002E+01
   10.5000   3.2910  15.0500   0.1752   2.3705  0.11827E+03  0.11826E+03  0.13365E-01  0.14428E+03  0.16461E+00  0.31510E+01  0.14097E+03  0.10003E+01
   10.5000   1.9400  22.4500   0.1922   3.0876  0.29451E+02  0.29449E+02  0.17881E-02  0.40347E+02  0.61515E-01  0.20009E+01  0.38285E+02  0.10007E+01
   10.5000   7.5720   7.2970   0.2344   1.2878  0.36667E+04  0.36647E+04  0.19270E+01  0.36999E+04  0.73958E-01  0.38250E+02  0.36615E+04  0.10002E+01
   10.5000   6.8410   8.8500   0.2491   1.7104  0.13746E+04  0.13743E+04  0.35185E+00  0.13970E+04  0.25130E-01  0.10352E+02  0.13867E+04  0.10004E+01
   10.5000   5.3170  11.9100   0.2471   2.4036  0.32318E+03  0.32315E+03  0.36940E-01  0.34079E+03  0.13344E-01  0.22275E+01  0.33855E+03  0.10005E+01
   10.5000   3.1850  18.5100   0.2521   3.4601  0.50971E+02  0.50969E+02  0.21128E-02  0.57613E+02  0.53501E-02  0.74125E+00  0.56866E+02  0.10008E+01
   10.5000   2.1330  26.1100   0.2911   4.5711  0.14618E+02  0.14617E+02  0.18054E-03  0.17092E+02  0.65016E-03  0.38937E+00  0.16702E+02  0.10018E+01
   10.5000   7.9550   7.6320   0.3099   1.4799  0.30368E+04  0.30371E+04 -0.35346E+00  0.29411E+04  0.42131E-02  0.27622E+02  0.29134E+04  0.10005E+01
   10.5000   7.6790   8.5230   0.3364   1.7809  0.16529E+04  0.16532E+04 -0.29436E+00  0.15941E+04  0.11677E-02  0.12039E+02  0.15821E+04  0.10006E+01
   10.5000   6.8460  10.4900   0.3504   2.4028  0.54307E+03  0.54312E+03 -0.45335E-01  0.52932E+03  0.43476E-03  0.26157E+01  0.52670E+03  0.10008E+01
   10.5000   4.9980  15.0300   0.3478   3.5906  0.96806E+02  0.96807E+02 -0.11508E-02  0.98007E+02  0.20028E-03  0.37521E+00  0.97631E+02  0.10011E+01
   10.5000   3.1090  22.3900   0.3549   4.9220  0.19192E+02  0.19192E+02 -0.54368E-04  0.20395E+02  0.10331E-03  0.14481E+00  0.20251E+02  0.10019E+01
   10.5000   7.3150  10.5600   0.4353   2.6017  0.44663E+03  0.44661E+03  0.20038E-01  0.42031E+03  0.18130E-03  0.23273E+01  0.41798E+03  0.10012E+01
   10.5000   6.3080  13.4600   0.4625   3.6385  0.11610E+03  0.11609E+03  0.84828E-02  0.11031E+03  0.64205E-04  0.37930E+00  0.10993E+03  0.10016E+01
   10.5000   4.5130  19.1700   0.4678   5.2553  0.22080E+02  0.22079E+02  0.28508E-03  0.21663E+02  0.25507E-04  0.57253E-01  0.21605E+02  0.10023E+01
   10.5000   3.2720  25.7400   0.5027   6.8180  0.57735E+01  0.57734E+01  0.16742E-03  0.57754E+01  0.73173E-05  0.20245E-01  0.57551E+01  0.10036E+01
   10.5000   6.5810  14.1600   0.5710   4.1990  0.58675E+02  0.58588E+02  0.86206E-01  0.53980E+02  0.65773E-05  0.29177E+00  0.53688E+02  0.10023E+01
   10.5000   5.6550  17.3500   0.5943   5.4032  0.18537E+02  0.18519E+02  0.17696E-01  0.17209E+02  0.17227E-05  0.64136E-01  0.17145E+02  0.10031E+01
   10.5000   4.2170  23.5000   0.6230   7.3449  0.39300E+01  0.39278E+01  0.21627E-02  0.37189E+01  0.27773E-06  0.10551E-01  0.37083E+01  0.10045E+01
