                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5000   5.3140   8.4400  0.13277E+04  0.15526E+04  0.24321E+01  0.15234E+04  0.15526E+04  0.24321E+01  0.15234E+04
   10.5000   3.2660  12.7600  0.21067E+03  0.28188E+03  0.14209E+01  0.27069E+03  0.28188E+03  0.14209E+01  0.27069E+03
   10.5000   2.2460  17.3400  0.68713E+02  0.10197E+03  0.65447E+00  0.95454E+02  0.10197E+03  0.65447E+00  0.95454E+02
   10.5000   6.8450   7.4410  0.29858E+04  0.31643E+04  0.49945E+00  0.31276E+04  0.31643E+04  0.49945E+00  0.31276E+04
   10.5000   5.3010  10.0500  0.68090E+03  0.75523E+03  0.28666E+00  0.74659E+03  0.75523E+03  0.28666E+00  0.74659E+03
   10.5000   3.2910  15.0500  0.11827E+03  0.14428E+03  0.16461E+00  0.14097E+03  0.14428E+03  0.16461E+00  0.14097E+03
   10.5000   1.9400  22.4500  0.29451E+02  0.40347E+02  0.61515E-01  0.38285E+02  0.40347E+02  0.61515E-01  0.38285E+02
   10.5000   7.5720   7.2970  0.36667E+04  0.36999E+04  0.73958E-01  0.36615E+04  0.36999E+04  0.73958E-01  0.36615E+04
   10.5000   6.8410   8.8500  0.13746E+04  0.13970E+04  0.25130E-01  0.13867E+04  0.13970E+04  0.25130E-01  0.13867E+04
   10.5000   5.3170  11.9100  0.32318E+03  0.34079E+03  0.13344E-01  0.33855E+03  0.34079E+03  0.13344E-01  0.33855E+03
   10.5000   3.1850  18.5100  0.50971E+02  0.57613E+02  0.53501E-02  0.56866E+02  0.57613E+02  0.53501E-02  0.56866E+02
   10.5000   2.1330  26.1100  0.14618E+02  0.17092E+02  0.65016E-03  0.16702E+02  0.17092E+02  0.65016E-03  0.16702E+02
   10.5000   7.9550   7.6320  0.30368E+04  0.29411E+04  0.42131E-02  0.29134E+04  0.29411E+04  0.42131E-02  0.29134E+04
   10.5000   7.6790   8.5230  0.16529E+04  0.15941E+04  0.11677E-02  0.15821E+04  0.15941E+04  0.11677E-02  0.15821E+04
   10.5000   6.8460  10.4900  0.54307E+03  0.52932E+03  0.43476E-03  0.52670E+03  0.52932E+03  0.43476E-03  0.52670E+03
   10.5000   4.9980  15.0300  0.96806E+02  0.98007E+02  0.20028E-03  0.97631E+02  0.98007E+02  0.20028E-03  0.97631E+02
   10.5000   3.1090  22.3900  0.19192E+02  0.20395E+02  0.10331E-03  0.20251E+02  0.20395E+02  0.10331E-03  0.20251E+02
   10.5000   7.3150  10.5600  0.44663E+03  0.42031E+03  0.18130E-03  0.41798E+03  0.42031E+03  0.18130E-03  0.41798E+03
   10.5000   6.3080  13.4600  0.11610E+03  0.11031E+03  0.64205E-04  0.10993E+03  0.11031E+03  0.64205E-04  0.10993E+03
   10.5000   4.5130  19.1700  0.22080E+02  0.21663E+02  0.25507E-04  0.21605E+02  0.21663E+02  0.25507E-04  0.21605E+02
