 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5000   5.3140   8.4400   0.1242   1.2086  0.74363E+04  0.74338E+04  0.24600E+01  0.86329E+04  0.46229E+01  0.13570E+03  0.84926E+04  0.99993E+00
   10.5000   3.2660  12.7600   0.1248   1.6938  0.11725E+04  0.11723E+04  0.19380E+00  0.15479E+04  0.25601E+01  0.49318E+02  0.14960E+04  0.10002E+01
   10.5000   2.2460  17.3400   0.1384   2.1436  0.37902E+03  0.37897E+03  0.44116E-01  0.55237E+03  0.75473E+00  0.29497E+02  0.52212E+03  0.10007E+01
   10.5000   6.8450   7.4410   0.1765   1.2105  0.16601E+05  0.16591E+05  0.99144E+01  0.17520E+05  0.27474E+00  0.18461E+03  0.17335E+05  0.10004E+01
   10.5000   5.3010  10.0500   0.1751   1.7081  0.37570E+04  0.37560E+04  0.95951E+00  0.41477E+04  0.15723E+00  0.42591E+02  0.41049E+04  0.10007E+01
   10.5000   3.2910  15.0500   0.1752   2.3705  0.64745E+03  0.64738E+03  0.73640E-01  0.78402E+03  0.90472E-01  0.16022E+02  0.76790E+03  0.10012E+01
   10.5000   1.9400  22.4500   0.1922   3.0876  0.15913E+03  0.15912E+03  0.98134E-02  0.21566E+03  0.41901E-01  0.10110E+02  0.20551E+03  0.10027E+01
   10.5000   7.5720   7.2970   0.2344   1.2878  0.20300E+05  0.20289E+05  0.10576E+02  0.20401E+05  0.89494E-01  0.19493E+03  0.20206E+05  0.10009E+01
   10.5000   6.8410   8.8500   0.2491   1.7104  0.75213E+04  0.75194E+04  0.19297E+01  0.76197E+04  0.38795E-01  0.52673E+02  0.75670E+04  0.10014E+01
   10.5000   5.3170  11.9100   0.2471   2.4036  0.17513E+04  0.17511E+04  0.20238E+00  0.18405E+04  0.21151E-01  0.11331E+02  0.18291E+04  0.10018E+01
   10.5000   3.1850  18.5100   0.2521   3.4601  0.27302E+03  0.27301E+03  0.11534E-01  0.30731E+03  0.92688E-02  0.37724E+01  0.30353E+03  0.10032E+01
   10.5000   2.1330  26.1100   0.2911   4.5711  0.76843E+02  0.76842E+02  0.97868E-03  0.89458E+02  0.12117E-02  0.19841E+01  0.87473E+02  0.10069E+01
   10.5000   7.9550   7.6320   0.3099   1.4799  0.16654E+05  0.16656E+05 -0.19298E+01  0.16054E+05  0.78555E-02  0.14019E+03  0.15914E+05  0.10018E+01
   10.5000   7.6790   8.5230   0.3364   1.7809  0.89674E+04  0.89690E+04 -0.16042E+01  0.86142E+04  0.16881E-02  0.61090E+02  0.85531E+04  0.10024E+01
   10.5000   6.8460  10.4900   0.3504   2.4028  0.29006E+04  0.29009E+04 -0.24655E+00  0.28184E+04  0.53703E-03  0.13247E+02  0.28051E+04  0.10031E+01
   10.5000   4.9980  15.0300   0.3478   3.5906  0.51016E+03  0.51016E+03 -0.62378E-02  0.51488E+03  0.24441E-03  0.18959E+01  0.51298E+03  0.10042E+01
   10.5000   3.1090  22.3900   0.3549   4.9220  0.99774E+02  0.99774E+02 -0.29326E-03  0.10570E+03  0.11948E-03  0.73329E+00  0.10497E+03  0.10071E+01
   10.5000   7.3150  10.5600   0.4353   2.6017  0.23412E+04  0.23411E+04  0.10821E+00  0.21968E+04  0.12891E-03  0.11776E+02  0.21850E+04  0.10045E+01
   10.5000   6.3080  13.4600   0.4625   3.6385  0.59670E+03  0.59666E+03  0.45579E-01  0.56567E+03  0.16873E-04  0.19136E+01  0.56375E+03  0.10060E+01
   10.5000   4.5130  19.1700   0.4678   5.2553  0.11193E+03  0.11193E+03  0.15252E-02  0.10958E+03  0.28170E-05  0.28746E+00  0.10929E+03  0.10085E+01
