                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5000   5.3140   8.4400  0.74363E+04  0.86329E+04  0.46229E+01  0.84926E+04  0.86329E+04  0.46229E+01  0.84926E+04
   10.5000   3.2660  12.7600  0.11725E+04  0.15479E+04  0.25601E+01  0.14960E+04  0.15479E+04  0.25601E+01  0.14960E+04
   10.5000   2.2460  17.3400  0.37902E+03  0.55237E+03  0.75473E+00  0.52212E+03  0.55237E+03  0.75473E+00  0.52212E+03
   10.5000   6.8450   7.4410  0.16601E+05  0.17520E+05  0.27474E+00  0.17335E+05  0.17520E+05  0.27474E+00  0.17335E+05
   10.5000   5.3010  10.0500  0.37570E+04  0.41477E+04  0.15723E+00  0.41049E+04  0.41477E+04  0.15723E+00  0.41049E+04
   10.5000   3.2910  15.0500  0.64745E+03  0.78402E+03  0.90472E-01  0.76790E+03  0.78402E+03  0.90472E-01  0.76790E+03
   10.5000   1.9400  22.4500  0.15913E+03  0.21566E+03  0.41901E-01  0.20551E+03  0.21566E+03  0.41901E-01  0.20551E+03
   10.5000   7.5720   7.2970  0.20300E+05  0.20401E+05  0.89494E-01  0.20206E+05  0.20401E+05  0.89494E-01  0.20206E+05
   10.5000   6.8410   8.8500  0.75213E+04  0.76197E+04  0.38795E-01  0.75670E+04  0.76197E+04  0.38795E-01  0.75670E+04
   10.5000   5.3170  11.9100  0.17513E+04  0.18405E+04  0.21151E-01  0.18291E+04  0.18405E+04  0.21151E-01  0.18291E+04
   10.5000   3.1850  18.5100  0.27302E+03  0.30731E+03  0.92688E-02  0.30353E+03  0.30731E+03  0.92688E-02  0.30353E+03
   10.5000   2.1330  26.1100  0.76843E+02  0.89458E+02  0.12117E-02  0.87473E+02  0.89458E+02  0.12117E-02  0.87473E+02
   10.5000   7.9550   7.6320  0.16654E+05  0.16054E+05  0.78555E-02  0.15914E+05  0.16054E+05  0.78555E-02  0.15914E+05
   10.5000   7.6790   8.5230  0.89674E+04  0.86142E+04  0.16881E-02  0.85531E+04  0.86142E+04  0.16881E-02  0.85531E+04
   10.5000   6.8460  10.4900  0.29006E+04  0.28184E+04  0.53703E-03  0.28051E+04  0.28184E+04  0.53703E-03  0.28051E+04
   10.5000   4.9980  15.0300  0.51016E+03  0.51488E+03  0.24441E-03  0.51298E+03  0.51488E+03  0.24441E-03  0.51298E+03
   10.5000   3.1090  22.3900  0.99774E+02  0.10570E+03  0.11948E-03  0.10497E+03  0.10570E+03  0.11948E-03  0.10497E+03
   10.5000   7.3150  10.5600  0.23412E+04  0.21968E+04  0.12891E-03  0.21850E+04  0.21968E+04  0.12891E-03  0.21850E+04
   10.5000   6.3080  13.4600  0.59670E+03  0.56567E+03  0.16873E-04  0.56375E+03  0.56567E+03  0.16873E-04  0.56375E+03
   10.5000   4.5130  19.1700  0.11193E+03  0.10958E+03  0.28170E-05  0.10929E+03  0.10958E+03  0.28170E-05  0.10929E+03
   10.5000   3.2720  25.7400  0.28795E+02  0.28751E+02  0.17532E-07  0.28650E+02  0.28751E+02  0.17532E-07  0.28650E+02
   10.5000   6.5810  14.1600  0.29338E+03  0.26953E+03  0.40696E-08  0.26804E+03  0.26953E+03  0.40696E-08  0.26804E+03
   10.5000   5.6550  17.3500  0.91476E+02  0.84844E+02  0.47583E-09  0.84518E+02  0.84844E+02  0.47583E-09  0.84518E+02
   10.5000   4.2170  23.5000  0.19132E+02  0.18097E+02  0.30506E-10  0.18044E+02  0.18097E+02  0.30506E-10  0.18044E+02
