 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5000   5.3140   8.4400   0.1242   1.2086  0.14365E+05  0.14360E+05  0.44281E+01  0.16624E+05  0.17141E+02  0.24253E+03  0.16364E+05  0.99998E+00
   10.5000   3.2660  12.7600   0.1248   1.6938  0.22498E+04  0.22494E+04  0.34904E+00  0.29572E+04  0.97959E+01  0.87968E+02  0.28594E+04  0.10004E+01
   10.5000   2.2460  17.3400   0.1384   2.1436  0.72075E+03  0.72067E+03  0.79386E-01  0.10448E+04  0.37779E+01  0.52521E+02  0.98852E+03  0.10011E+01
   10.5000   6.8450   7.4410   0.1765   1.2105  0.31929E+05  0.31912E+05  0.17823E+02  0.33632E+05  0.20346E+01  0.33055E+03  0.33300E+05  0.10007E+01
   10.5000   5.3010  10.0500   0.1751   1.7081  0.71797E+04  0.71780E+04  0.17255E+01  0.79105E+04  0.11593E+01  0.76228E+02  0.78331E+04  0.10011E+01
   10.5000   3.2910  15.0500   0.1752   2.3705  0.12272E+04  0.12270E+04  0.13233E+00  0.14820E+04  0.65217E+00  0.28619E+02  0.14528E+04  0.10019E+01
   10.5000   1.9400  22.4500   0.1922   3.0876  0.29794E+03  0.29792E+03  0.17599E-01  0.40216E+03  0.20893E+00  0.18002E+02  0.38395E+03  0.10041E+01
   10.5000   7.5720   7.2970   0.2344   1.2878  0.38972E+05  0.38953E+05  0.19001E+02  0.39101E+05  0.20628E+00  0.34921E+03  0.38751E+05  0.10014E+01
   10.5000   6.8410   8.8500   0.2491   1.7104  0.14311E+05  0.14307E+05  0.34668E+01  0.14481E+05  0.65810E-01  0.94364E+02  0.14386E+05  0.10021E+01
   10.5000   5.3170  11.9100   0.2471   2.4036  0.33061E+04  0.33057E+04  0.36324E+00  0.34696E+04  0.34897E-01  0.20280E+02  0.34493E+04  0.10027E+01
   10.5000   3.1850  18.5100   0.2521   3.4601  0.50980E+03  0.50977E+03  0.20654E-01  0.57294E+03  0.13717E-01  0.67348E+01  0.56619E+03  0.10047E+01
   10.5000   2.1330  26.1100   0.2911   4.5711  0.14148E+03  0.14148E+03  0.17467E-02  0.16447E+03  0.15493E-02  0.35310E+01  0.16093E+03  0.10100E+01
   10.5000   7.9550   7.6320   0.3099   1.4799  0.31885E+05  0.31888E+05 -0.34647E+01  0.30673E+05  0.99814E-02  0.25132E+03  0.30421E+05  0.10026E+01
   10.5000   7.6790   8.5230   0.3364   1.7809  0.17040E+05  0.17043E+05 -0.28789E+01  0.16342E+05  0.23666E-02  0.10952E+03  0.16233E+05  0.10035E+01
   10.5000   6.8460  10.4900   0.3504   2.4028  0.54419E+04  0.54423E+04 -0.44192E+00  0.52820E+04  0.63502E-03  0.23726E+02  0.52582E+04  0.10046E+01
   10.5000   4.9980  15.0300   0.3478   3.5906  0.94680E+03  0.94681E+03 -0.11151E-01  0.95433E+03  0.25232E-03  0.33881E+01  0.95095E+03  0.10062E+01
   10.5000   3.1090  22.3900   0.3549   4.9220  0.18308E+03  0.18308E+03 -0.52261E-03  0.19373E+03  0.85167E-04  0.13064E+01  0.19243E+03  0.10103E+01
   10.5000   7.3150  10.5600   0.4353   2.6017  0.43612E+04  0.43610E+04  0.19380E+00  0.40875E+04  0.18070E-04  0.21099E+02  0.40664E+04  0.10066E+01
   10.5000   6.3080  13.4600   0.4625   3.6385  0.10952E+04  0.10951E+04  0.81431E-01  0.10373E+04  0.19980E-05  0.34221E+01  0.10339E+04  0.10087E+01
   10.5000   4.5130  19.1700   0.4678   5.2553  0.20333E+03  0.20333E+03  0.27165E-02  0.19886E+03  0.48979E-06  0.51211E+00  0.19834E+03  0.10123E+01
