                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5000   5.3140   8.4400  0.14365E+05  0.16624E+05  0.17141E+02  0.16364E+05  0.16624E+05  0.17141E+02  0.16364E+05
   10.5000   3.2660  12.7600  0.22498E+04  0.29572E+04  0.97959E+01  0.28594E+04  0.29572E+04  0.97959E+01  0.28594E+04
   10.5000   2.2460  17.3400  0.72075E+03  0.10448E+04  0.37779E+01  0.98852E+03  0.10448E+04  0.37779E+01  0.98852E+03
   10.5000   6.8450   7.4410  0.31929E+05  0.33632E+05  0.20346E+01  0.33300E+05  0.33632E+05  0.20346E+01  0.33300E+05
   10.5000   5.3010  10.0500  0.71797E+04  0.79105E+04  0.11593E+01  0.78331E+04  0.79105E+04  0.11593E+01  0.78331E+04
   10.5000   3.2910  15.0500  0.12272E+04  0.14820E+04  0.65217E+00  0.14528E+04  0.14820E+04  0.65217E+00  0.14528E+04
   10.5000   1.9400  22.4500  0.29794E+03  0.40216E+03  0.20893E+00  0.38395E+03  0.40216E+03  0.20893E+00  0.38395E+03
   10.5000   7.5720   7.2970  0.38972E+05  0.39101E+05  0.20628E+00  0.38751E+05  0.39101E+05  0.20628E+00  0.38751E+05
   10.5000   6.8410   8.8500  0.14311E+05  0.14481E+05  0.65810E-01  0.14386E+05  0.14481E+05  0.65810E-01  0.14386E+05
   10.5000   5.3170  11.9100  0.33061E+04  0.34696E+04  0.34897E-01  0.34493E+04  0.34696E+04  0.34897E-01  0.34493E+04
   10.5000   3.1850  18.5100  0.50980E+03  0.57294E+03  0.13717E-01  0.56619E+03  0.57294E+03  0.13717E-01  0.56619E+03
   10.5000   2.1330  26.1100  0.14148E+03  0.16447E+03  0.15493E-02  0.16093E+03  0.16447E+03  0.15493E-02  0.16093E+03
   10.5000   7.9550   7.6320  0.31885E+05  0.30673E+05  0.99814E-02  0.30421E+05  0.30673E+05  0.99814E-02  0.30421E+05
   10.5000   7.6790   8.5230  0.17040E+05  0.16342E+05  0.23666E-02  0.16233E+05  0.16342E+05  0.23666E-02  0.16233E+05
   10.5000   6.8460  10.4900  0.54419E+04  0.52820E+04  0.63502E-03  0.52582E+04  0.52820E+04  0.63502E-03  0.52582E+04
   10.5000   4.9980  15.0300  0.94680E+03  0.95433E+03  0.25232E-03  0.95095E+03  0.95433E+03  0.25232E-03  0.95095E+03
   10.5000   3.1090  22.3900  0.18308E+03  0.19373E+03  0.85167E-04  0.19243E+03  0.19373E+03  0.85167E-04  0.19243E+03
   10.5000   7.3150  10.5600  0.43612E+04  0.40875E+04  0.18070E-04  0.40664E+04  0.40875E+04  0.18070E-04  0.40664E+04
   10.5000   6.3080  13.4600  0.10952E+04  0.10373E+04  0.19980E-05  0.10339E+04  0.10373E+04  0.19980E-05  0.10339E+04
   10.5000   4.5130  19.1700  0.20333E+03  0.19886E+03  0.48979E-06  0.19834E+03  0.19886E+03  0.48979E-06  0.19834E+03
