 ***Ebeam    Eprime  Theta     x        Q2      Sig_Born     Sig_Born_In  Sig_Born_QE  Sig_Rad      Sig_Rad_EL   Sig_Rad_QE   Sig_Rad_DIS  C_cor
   10.5000   5.3140   8.4400   0.1242   1.2086  0.21678E+03  0.21678E+03  0.65020E-03  0.25259E+03  0.18972E+00  0.55274E+01  0.24687E+03  0.10000E+01
   10.5000   3.2660  12.7600   0.1248   1.6938  0.34865E+02  0.34865E+02  0.44022E-04  0.46245E+02  0.11063E+00  0.21035E+01  0.44031E+02  0.10000E+01
   10.5000   2.2460  17.3400   0.1384   2.1436  0.11438E+02  0.11438E+02  0.11510E-04  0.16797E+02  0.60641E-01  0.12918E+01  0.15445E+02  0.10000E+01
   10.5000   6.8450   7.4410   0.1765   1.2105  0.48124E+03  0.48124E+03  0.69431E-02  0.50992E+03  0.73119E-01  0.69892E+01  0.50286E+03  0.10000E+01
   10.5000   5.3010  10.0500   0.1751   1.7081  0.11108E+03  0.11108E+03  0.50611E-03  0.12316E+03  0.39064E-01  0.16599E+01  0.12146E+03  0.10000E+01
   10.5000   3.2910  15.0500   0.1752   2.3705  0.19524E+02  0.19524E+02  0.33297E-04  0.23780E+02  0.22821E-01  0.65137E+00  0.23106E+02  0.10000E+01
   10.5000   1.9400  22.4500   0.1922   3.0876  0.49031E+01  0.49031E+01  0.54164E-05  0.66898E+01  0.11690E-01  0.42855E+00  0.62496E+01  0.10000E+01
   10.5000   7.5720   7.2970   0.2344   1.2878  0.58328E+03  0.58326E+03  0.28243E-01  0.58997E+03  0.27549E-01  0.72724E+01  0.58267E+03  0.10000E+01
   10.5000   6.8410   8.8500   0.2491   1.7104  0.22230E+03  0.22230E+03  0.55666E-02  0.22624E+03  0.11649E-01  0.19849E+01  0.22424E+03  0.10000E+01
   10.5000   5.3170  11.9100   0.2471   2.4036  0.52910E+02  0.52910E+02  0.39526E-03  0.55886E+02  0.60663E-02  0.43657E+00  0.55443E+02  0.10000E+01
   10.5000   3.1850  18.5100   0.2521   3.4601  0.84331E+01  0.84331E+01  0.19872E-04  0.95539E+01  0.29373E-02  0.14919E+00  0.94018E+01  0.10000E+01
   10.5000   2.1330  26.1100   0.2911   4.5711  0.24368E+01  0.24368E+01  0.42542E-05  0.28584E+01  0.96866E-03  0.78713E-01  0.27787E+01  0.10000E+01
   10.5000   7.9550   7.6320   0.3099   1.4799  0.48135E+03  0.48129E+03  0.63765E-01  0.46854E+03  0.79611E-02  0.53908E+01  0.46315E+03  0.10000E+01
   10.5000   7.6790   8.5230   0.3364   1.7809  0.26535E+03  0.26532E+03  0.29312E-01  0.25691E+03  0.34147E-02  0.23366E+01  0.25457E+03  0.10000E+01
   10.5000   6.8460  10.4900   0.3504   2.4028  0.88720E+02  0.88716E+02  0.43645E-02  0.86741E+02  0.13011E-02  0.51061E+00  0.86229E+02  0.10000E+01
   10.5000   4.9980  15.0300   0.3478   3.5906  0.16106E+02  0.16106E+02  0.17552E-03  0.16354E+02  0.55813E-03  0.74904E-01  0.16279E+02  0.10000E+01
   10.5000   3.1090  22.3900   0.3549   4.9220  0.32190E+01  0.32190E+01  0.12256E-04  0.34332E+01  0.27257E-03  0.29143E-01  0.34038E+01  0.10000E+01
   10.5000   7.3150  10.5600   0.4353   2.6017  0.73490E+02  0.73479E+02  0.10099E-01  0.69540E+02  0.36064E-03  0.43638E+00  0.69103E+02  0.10000E+01
   10.5000   6.3080  13.4600   0.4625   3.6385  0.19750E+02  0.19749E+02  0.12153E-02  0.18791E+02  0.10486E-03  0.71917E-01  0.18719E+02  0.10000E+01
   10.5000   4.5130  19.1700   0.4678   5.2553  0.38035E+01  0.38034E+01  0.63725E-04  0.37393E+01  0.41112E-04  0.11544E-01  0.37277E+01  0.10000E+01
