                                           ************ internal ***************  +++++++ internal  + external ++++++++
    E        Ep      Th       s_born       s_rad        s_elas       s_dis        s_rad        s_elas       s_dis
   10.5000   5.3140   8.4400  0.21678E+03  0.25259E+03  0.18972E+00  0.24687E+03  0.25259E+03  0.18972E+00  0.24687E+03
   10.5000   3.2660  12.7600  0.34865E+02  0.46245E+02  0.11063E+00  0.44031E+02  0.46245E+02  0.11063E+00  0.44031E+02
   10.5000   2.2460  17.3400  0.11438E+02  0.16797E+02  0.60641E-01  0.15445E+02  0.16797E+02  0.60641E-01  0.15445E+02
   10.5000   6.8450   7.4410  0.48124E+03  0.50992E+03  0.73119E-01  0.50286E+03  0.50992E+03  0.73119E-01  0.50286E+03
   10.5000   5.3010  10.0500  0.11108E+03  0.12316E+03  0.39064E-01  0.12146E+03  0.12316E+03  0.39064E-01  0.12146E+03
   10.5000   3.2910  15.0500  0.19524E+02  0.23780E+02  0.22821E-01  0.23106E+02  0.23780E+02  0.22821E-01  0.23106E+02
   10.5000   1.9400  22.4500  0.49031E+01  0.66898E+01  0.11690E-01  0.62496E+01  0.66898E+01  0.11690E-01  0.62496E+01
   10.5000   7.5720   7.2970  0.58328E+03  0.58997E+03  0.27549E-01  0.58267E+03  0.58997E+03  0.27549E-01  0.58267E+03
   10.5000   6.8410   8.8500  0.22230E+03  0.22624E+03  0.11649E-01  0.22424E+03  0.22624E+03  0.11649E-01  0.22424E+03
   10.5000   5.3170  11.9100  0.52910E+02  0.55886E+02  0.60663E-02  0.55443E+02  0.55886E+02  0.60663E-02  0.55443E+02
   10.5000   3.1850  18.5100  0.84331E+01  0.95539E+01  0.29373E-02  0.94018E+01  0.95539E+01  0.29373E-02  0.94018E+01
   10.5000   2.1330  26.1100  0.24368E+01  0.28584E+01  0.96866E-03  0.27787E+01  0.28584E+01  0.96866E-03  0.27787E+01
   10.5000   7.9550   7.6320  0.48135E+03  0.46854E+03  0.79611E-02  0.46315E+03  0.46854E+03  0.79611E-02  0.46315E+03
   10.5000   7.6790   8.5230  0.26535E+03  0.25691E+03  0.34147E-02  0.25457E+03  0.25691E+03  0.34147E-02  0.25457E+03
   10.5000   6.8460  10.4900  0.88720E+02  0.86741E+02  0.13011E-02  0.86229E+02  0.86741E+02  0.13011E-02  0.86229E+02
   10.5000   4.9980  15.0300  0.16106E+02  0.16354E+02  0.55813E-03  0.16279E+02  0.16354E+02  0.55813E-03  0.16279E+02
   10.5000   3.1090  22.3900  0.32190E+01  0.34332E+01  0.27257E-03  0.34038E+01  0.34332E+01  0.27257E-03  0.34038E+01
   10.5000   7.3150  10.5600  0.73490E+02  0.69540E+02  0.36064E-03  0.69103E+02  0.69540E+02  0.36064E-03  0.69103E+02
   10.5000   6.3080  13.4600  0.19750E+02  0.18791E+02  0.10486E-03  0.18719E+02  0.18791E+02  0.10486E-03  0.18719E+02
   10.5000   4.5130  19.1700  0.38035E+01  0.37393E+01  0.41112E-04  0.37277E+01  0.37393E+01  0.41112E-04  0.37277E+01
